game_id,season_type,tip_utc,tip_et,away_team,home_team,venue,city,state,national_tv,home_rsns,away_rsns,international,is_tbd
0012500008,Preseason,2025-10-02T16:00:00Z,2025-10-02T11:00:00-05:00,PHI (76ers),NYK (Knicks),Etihad Arena,Abu Dhabi,"",NBA TV,MSG,"","",false
0012500001,Preseason,2025-10-04T02:00:00Z,2025-10-03T21:00:00-05:00,PHX (Suns),LAL (Lakers),Acrisure Arena,Palm Desert,CA,NBA TV,Spectrum SportsNet,Arizona's Family 3TV / Arizona's Family Sports,"",false
0012500009,Preseason,2025-10-03T09:30:00Z,2025-10-03T04:30:00-05:00,MEL (United),NOP (Pelicans),Rod Laver Arena,Melbourne,"",NBA TV,GCSEN,"","",false
0012500010,Preseason,2025-10-04T15:00:00Z,2025-10-04T10:00:00-05:00,NYK (Knicks),PHI (76ers),Etihad Arena,Abu Dhabi,"",NBA TV,"",MSG,"",false
0012500011,Preseason,2025-10-05T03:00:00Z,2025-10-04T22:00:00-05:00,SEM (Phoenix),NOP (Pelicans),Rod Laver Arena,Melbourne,"",NBA TV,GCSEN,"","",false
0012500026,Preseason,2025-10-05T00:00:00Z,2025-10-04T19:00:00-05:00,HAP (Jerusalem B.C.),BKN (Nets),Barclays Center,Brooklyn,NY,"",YES,"","",false
0012500027,Preseason,2025-10-05T00:00:00Z,2025-10-04T19:00:00-05:00,ORL (Magic),MIA (Heat),Coliseo de Puerto Rico,"San Juan,Puerto Rico","",NBA TV,FanDuel Sports Network - Sun,FanDuel Sports Network - Florida,"",false
0012500028,Preseason,2025-10-05T01:00:00Z,2025-10-04T20:00:00-05:00,MIN (Timberwolves),DEN (Nuggets),Pechanga Arena,San Diego,CA,"",Altitude,"","",false
0012500029,Preseason,2025-10-05T21:00:00Z,2025-10-05T16:00:00-05:00,OKC (Thunder),CHA (Hornets),North Charleston Coliseum,Charleston,SC,"","",Thunder App,"",false
0012500030,Preseason,2025-10-06T00:30:00Z,2025-10-05T19:30:00-05:00,LAL (Lakers),GSW (Warriors),Chase Center,San Francisco,CA,ESPN,NBCSBA,Spectrum SportsNet,"",false
0012500002,Preseason,2025-10-06T23:30:00Z,2025-10-06T18:30:00-05:00,MIL (Bucks),MIA (Heat),Kaseya Center,Miami,FL,"",FanDuel Sports Network - Sun,FanDuel Sports Network - Wisconsin,"",false
0012500014,Preseason,2025-10-07T00:00:00Z,2025-10-06T19:00:00-05:00,ATL (Hawks),HOU (Rockets),Toyota Center,Houston,TX,"",Space City Home Network,FanDuel Sports Network - Southeast - Atlanta,"",false
0012500031,Preseason,2025-10-07T00:00:00Z,2025-10-06T19:00:00-05:00,DET (Pistons),MEM (Grizzlies),FedExForum,Memphis,TN,"",FanDuel Sports Network - Southeast - Memphis,FanDuel Sports Network - Detroit,"",false
0012500032,Preseason,2025-10-07T00:00:00Z,2025-10-06T19:00:00-05:00,GUA (Loong-Lions),SAS (Spurs),Frost Bank Center,San Antonio,TX,"",CWSA,"","",false
0012500033,Preseason,2025-10-07T00:30:00Z,2025-10-06T19:30:00-05:00,OKC (Thunder),DAL (Mavericks),Dickies Arena,Fort Worth,TX,NBA TV,KFAA,FDSNOK/KSBI,"",false
0012500034,Preseason,2025-10-07T02:00:00Z,2025-10-06T21:00:00-05:00,DEN (Nuggets),TOR (Raptors),Rogers Arena,Vancouver,BC,"",TSN,"","",false
0012500035,Preseason,2025-10-07T23:00:00Z,2025-10-07T18:00:00-05:00,CHI (Bulls),CLE (Cavaliers),Rocket Arena,Cleveland,OH,Peacock,FanDuel Sports Network - Ohio,Chicago Sports Network,"",false
0012500036,Preseason,2025-10-08T00:00:00Z,2025-10-07T19:00:00-05:00,IND (Pacers),MIN (Timberwolves),Target Center,Minneapolis,MN,"",FanDuel Sports Network - North,FanDuel Sports Network - Indiana,"",false
0012500003,Preseason,2025-10-08T23:30:00Z,2025-10-08T18:30:00-05:00,SAS (Spurs),MIA (Heat),Kaseya Center,Miami,FL,NBA TV,FanDuel Sports Network - Sun,CWSA,"",false
0012500015,Preseason,2025-10-09T02:00:00Z,2025-10-08T21:00:00-05:00,POR (Trail Blazers),GSW (Warriors),Chase Center,San Francisco,CA,NBA TV,NBCSBA,KUNP,"",false
